run,bend_no,feed_before_ft,feed_before_mm,angle_deg,roll_deg,roll_dir
34,6,2.9,884.5,90.0,0.0,
35,1,4.71,1435.1,90.0,0,
35,2,11.79,3594.4,90.0,90.0,CCW
35,3,26.14,7967.2,90.0,180.0,
35,4,17.67,5386.4,90.0,0.0,
36,1,6.08,1854.2,90.0,0,
36,2,2.42,736.6,22.5,0.0,
36,3,1.34,408.5,22.5,180.0,
36,4,1.42,431.8,22.5,0.0,
36,5,1.34,408.5,22.5,180.0,
36,6,2.71,826.2,90.0,90.0,CCW
37,1,4.71,1435.1,90.0,0,
37,2,4.82,1467.9,30.0,180.0,
37,3,2.0,609.6,30.0,180.0,
37,4,1.26,383.5,30.0,0.0,
37,5,2.0,609.6,30.0,180.0,
37,6,1.96,597.9,90.0,90.0,CCW
37,7,16.31,4971.9,90.0,180.0,
37,8,24.5,7467.6,90.0,180.0,
38,1,5.79,1765.3,90.0,0,
38,2,4.94,1505.2,10.0,180.0,
38,3,1.8,549.6,10.0,180.0,
38,4,3.34,1019.5,90.0,90.0,CCW
39,1,34.34,10466.5,90.0,0,
39,2,5.19,1581.2,90.0,90.0,CCW
39,3,2.83,863.6,12.5,90.0,CCW
39,4,1.54,468.4,12.5,180.0,
40,1,5.33,1625.6,90.0,0,
40,2,5.28,1609.7,90.0,90.0,CCW
40,3,26.79,8167.1,22.5,90.0,CCW
40,4,2.44,742.6,22.5,180.0,
41,1,5.0,1525.4,22.5,0,
41,2,2.44,742.6,22.5,180.0,
41,3,27.84,8484.6,90.0,90.0,CCW
41,4,5.75,1752.6,90.0,90.0,CW
42,1,5.42,1651.0,90.0,0,
42,2,4.88,1485.9,90.0,90.0,CCW
43,1,4.71,1435.1,90.0,0,
43,2,4.77,1452.6,30.0,180.0,
43,3,2.0,609.6,30.0,180.0,
43,4,1.26,383.5,30.0,0.0,
43,5,2.0,609.6,30.0,180.0,
43,6,1.96,597.9,90.0,90.0,CW
43,7,4.95,1508.3,90.0,180.0,
43,8,18.5,5638.8,90.0,0.0,
44,1,33.59,10237.4,90.0,0,
45,1,8.0,2438.4,90.0,0,
45,2,18.07,5508.2,52.0,90.0,CW
45,3,2.48,755.6,90.0,90.0,CW
46,1,8.34,2543.2,45.0,0,
46,2,2.8,853.1,45.0,180.0,
46,3,6.29,1917.7,45.0,0.0,
46,4,2.8,853.1,45.0,180.0,
47,1,4.92,1498.6,90.0,0,
47,2,5.59,1705.0,90.0,90.0,CCW
47,3,3.82,1165.6,22.5,90.0,CCW
47,4,2.41,734.0,22.5,180.0,
48,1,5.75,1752.6,90.0,0,
48,2,5.12,1562.1,90.0,90.0,CW
49,1,5.36,1633.2,90.0,0,
49,2,3.89,1184.9,18.5,180.0,
49,3,2.28,695.8,18.5,180.0,
49,4,3.29,1003.3,90.0,90.0,CCW
50,1,5.4,1644.6,90.0,0,
50,2,3.87,1181.1,18.3,180.0,
50,3,2.18,665.7,18.3,180.0,
50,4,3.08,939.8,90.0,90.0,CCW
51,1,5.08,1549.4,90.0,0,
51,2,5.12,1562.1,90.0,90.0,CCW
52,1,6.58,2006.6,45.0,0,
52,2,2.3,700.5,45.0,180.0,
52,3,3.0,914.4,45.0,0.0,
52,4,2.3,700.5,45.0,180.0,
53,1,6.58,2006.6,45.0,0,
53,2,2.3,700.5,45.0,180.0,
53,3,3.0,914.4,45.0,0.0,
53,4,2.3,700.5,45.0,180.0,
54,1,7.82,2384.4,45.0,0,
54,2,2.36,718.4,45.0,180.0,
54,3,3.0,914.4,45.0,0.0,
54,4,2.36,718.4,45.0,180.0,
55,1,6.18,1882.8,45.0,0,
55,2,2.36,718.4,45.0,180.0,
55,3,3.0,914.4,45.0,0.0,
55,4,2.36,718.4,45.0,180.0,
56,1,13.04,3975.1,45.0,0,
56,2,3.54,1077.6,45.0,180.0,
90,1,1.95,593.7,90.0,0,
90,2,7.31,2228.9,45.0,90.0,CCW
90,3,2.36,718.4,45.0,180.0,
90,4,2.17,660.4,60.0,0.0,
90,5,1.83,558.8,60.0,180.0,
91,1,3.25,990.6,90.0,0,
91,2,5.3,1614.3,22.5,0.0,
91,3,2.44,742.6,22.5,180.0,
92,1,9.34,2848.0,45.0,0,
92,2,4.83,1473.4,45.0,180.0,
93,1,1.49,454.0,45.0,0,
93,2,1.65,502.9,45.0,180.0,
93,3,2.67,812.8,45.0,0.0,
93,4,1.65,502.9,45.0,180.0,
93,5,2.55,778.2,90.0,90.0,CW
93,6,3.99,1215.2,90.0,180.0,
94,1,1.49,454.0,45.0,0,
94,2,1.65,502.9,45.0,180.0,
94,3,2.67,812.8,45.0,0.0,
94,4,1.65,502.9,45.0,180.0,
94,5,2.55,778.2,90.0,90.0,CW
94,6,2.49,758.0,90.0,180.0,
95,1,8.98,2736.9,90.0,0,
95,2,1.42,431.8,35.0,90.0,CW
95,3,1.36,413.6,35.0,180.0,
123,1,2.42,736.6,90.0,0,
124,1,1.72,523.3,90.0,0,
124,2,8.5,2590.8,90.0,0.0,
125,1,8.3,2529.6,90.0,0,
126,1,1.51,460.4,45.0,0,
126,2,1.65,502.9,45.0,180.0,
126,3,2.67,812.8,45.0,0.0,
126,4,1.65,502.9,45.0,180.0,
126,5,1.42,431.8,15.0,90.0,CW
126,6,1.08,330.2,15.0,180.0,
127,1,1.49,454.0,45.0,0,
127,2,1.65,502.9,45.0,180.0,
127,3,2.67,812.8,45.0,0.0,
127,4,1.65,502.9,45.0,180.0,
128,1,3.82,1165.2,45.0,0,
128,2,1.65,502.9,45.0,180.0,
128,3,2.67,812.8,45.0,0.0,
128,4,1.65,502.9,45.0,180.0,
129,1,1.49,454.0,45.0,0,
129,2,1.65,502.9,45.0,180.0,
129,3,2.67,812.8,45.0,0.0,
129,4,1.65,502.9,45.0,180.0,
130,1,3.83,1168.4,45.0,0,
130,2,1.65,502.9,45.0,180.0,
130,3,2.67,812.8,45.0,0.0,
130,4,1.65,502.9,45.0,180.0,
131,1,3.83,1168.4,45.0,0,
131,2,1.65,502.9,45.0,180.0,
131,3,2.67,812.8,45.0,0.0,
131,4,1.65,502.9,45.0,180.0,
132,1,3.83,1168.4,45.0,0,
132,2,1.65,502.9,45.0,180.0,
132,3,2.67,812.8,45.0,0.0,
