run,conduit,outer_diameter_mm,length_ft,length_mm,num_bends,bend_angles_deg
144,EMT,55.8,9.83,2997.2,0,
145,EMT,55.8,9.83,2997.2,0,
146,EMT,55.8,9.83,2997.2,0,
147,EMT,55.8,9.83,2997.2,0,
148,EMT,55.8,9.83,2997.2,0,
149,EMT,55.8,9.83,2997.2,0,
150,EMT,55.8,9.83,2997.2,0,
151,EMT,55.8,9.83,2997.2,0,
152,EMT,55.8,9.83,2997.2,0,
153,EMT,55.8,9.83,2997.2,0,
154,EMT,55.8,9.83,2997.2,0,
155,EMT,55.8,9.83,2997.2,0,
156,EMT,55.8,9.83,2997.2,0,
157,EMT,55.8,9.83,2997.2,0,
158,EMT,55.8,9.83,2997.2,0,
159,EMT,23.4,9.28,2828.9,1,90
160,EMT,23.4,7.94,2419.2,4,45 45 45 45
161,EMT,55.8,7.83,2387.6,1,90
162,EMT,23.4,6.0,1828.8,0,
163,EMT,23.4,5.56,1693.9,0,
164,EMT,23.4,4.33,1320.8,0,
165,EMT,23.4,4.33,1320.8,0,
166,EMT,23.4,4.33,1320.8,0,
167,EMT,23.4,4.33,1320.8,0,
168,EMT,23.4,4.33,1320.8,0,
169,EMT,23.4,4.33,1320.8,0,
170,EMT,23.4,4.33,1320.8,0,
171,EMT,23.4,4.33,1320.8,0,
172,EMT,23.4,4.33,1320.8,0,
173,EMT,23.4,4.33,1320.8,0,
174,EMT,23.4,4.33,1320.8,0,
175,EMT,29.5,4.33,1320.8,0,
176,EMT,23.4,4.33,1320.8,0,
177,EMT,23.4,4.33,1320.8,0,
178,EMT,23.4,4.33,1320.8,0,
179,EMT,23.4,4.33,1320.8,0,
180,EMT,23.4,4.0,1219.2,0,
181,EMT,23.4,1.7,518.0,0,
182,EMT,23.4,1.7,518.0,0,
183,EMT,23.4,1.7,518.0,0,
184,EMT,23.4,1.7,518.0,0,
185,EMT,23.4,1.7,518.0,0,
186,EMT,23.4,1.7,518.0,0,
187,EMT,23.4,1.7,518.0,0,
188,EMT,23.4,1.7,518.0,0,
189,EMT,29.5,1.67,508.0,0,
190,EMT,23.4,1.63,498.0,0,
191,EMT,23.4,1.63,498.0,0,
192,EMT,23.4,1.63,498.0,0,
193,EMT,23.4,1.63,498.0,0,
194,EMT,23.4,1.63,498.0,0,
195,EMT,23.4,1.63,498.0,0,
196,EMT,23.4,1.63,498.0,0,
197,EMT,23.4,1.63,498.0,0,
198,EMT,55.8,1.5,457.2,0,
199,EMT,55.8,1.5,457.2,0,
200,EMT,55.8,1.5,457.2,0,
201,EMT,55.8,1.5,457.2,0,
202,EMT,55.8,0.63,191.4,0,
203,EMT,55.8,0.56,171.9,0,
204,EMT,55.8,0.56,171.9,0,
205,EMT,55.8,0.55,168.9,0,
206,EMT,55.8,0.52,159.0,0,
207,EMT,55.8,0.43,129.8,0,
208,EMT,55.8,0.37,112.2,0,
